"Item Code",Description,"Netstock Unit of Measure","Unit Volume","Unit Weight","Superseded Item Code","Supersession Item Factor","Not Used","Unique Identifier"
ZB05-1097,"Zulily Bundle 5 - DTK/DTKP",,,4.5,,,,3841
ZB06-1098,"Zulily Bundle 6 - STSA/STPA/SLDA",,,4.62,,,,3842
ZB07-1139,"Zulily Bundle 7 - FTK/DTK",,,4.23,,,,3843
ZB08-1140,"Zulily Bundle 8 - SEAG/FRBA",,,3.83,,,,3844
ZB09-1141,"Zulily Bundle 9- SPSA/STCA",,,2.6,,,,3845
ZB10-1142,"Zulily Bundle 10- RACR/RACB",,,.44,,,,3846
ZB11-1273,"Zulily Bundle 11 - CPCK + Tea",,,2.38,,,,4144
ZB12-1274,"Zulily Bundle 12 - FLWA + TLSP",,,3.49,,,,4145
ZB13-1275,"Zulily Bundle 13 - WTCG + GAR",,,2.97,,,,4146
ZB14-1276,"Zulily Bundle 14 - RTK + FTK",,,4.29,,,,4147
ZB15-2991,"Zulily Bundle 15 - ENGR + PTRB + CHP1",,,0,,,,4285
